,subjects,elecs,s_Mai_RL,0_theta_AUC,1_alpha_AUC,2_beta_AUC,3_gamma_AUC,0_theta_Pow0,1_alpha_Pow0,2_beta_Pow0,3_gamma_Pow0,0_theta_Pow1,1_alpha_Pow1,2_beta_Pow1,3_gamma_Pow1,sig_1levtheta,sig_1levalpha,sig_1levbeta,sig_1levgamma,region,2lev_sig_theta,2lev_sig_alpha,2lev_sig_beta,2lev_sig_gamma
40,S0,40,MFG,0.6583333333333332,0.7683333333333333,0.5733333333333333,0.9716666666666668,13.793019290679196,6.656951587744744,14.75427686254591,1.9478183877100017,24.75441013917129,11.837680559157127,10.671831884292002,2.8285558529540347,0,1,0,1,Frontal,0,0,0,0
41,S0,41,MFG,0.775,0.7649999999999999,0.6966666666666665,0.8666666666666666,3.837412821272835,2.286536575667897,3.7772646899384643,0.6845670536098103,7.306696565340975,4.380286836880378,4.9756903748773365,0.9151573357370524,1,1,1,1,Frontal,1,0,0,0
42,S0,42,MFG,0.6333333333333334,0.9349999999999998,0.8116666666666668,1.0,5.031929239952318,3.136623046975496,7.772599330536418,1.4094508919408646,10.644617919111614,7.9179133087199105,11.358856762407761,2.0981725424919944,0,1,1,1,Frontal,0,0,0,0
43,S0,43,MFG,0.7099999999999999,0.6833333333333333,0.6366666666666665,1.0,22.42744651395368,9.274147067005053,35.00362799282794,5.333606229457177,39.60222951559896,14.767859048958194,26.122498364506164,7.585684863994388,1,1,0,1,Frontal,0,1,0,0
44,S0,44,MFG,0.8666666666666666,0.7166666666666667,0.575,0.9516666666666664,89.89282991794381,17.134290737368588,44.26320786036455,9.41761486673357,51.39233251614335,32.170605136020605,52.67297012872247,11.428122464844995,1,1,0,1,Frontal,0,0,0,0
45,S0,45,MFG,0.6383333333333334,0.8516666666666666,0.7466666666666667,0.6883333333333332,79.69439193008942,16.488750313875325,42.50426289390811,11.378567959976184,58.4918693462681,33.6822442648181,55.064296601871405,14.606785898451884,0,1,1,1,Frontal,0,0,0,0
46,S0,46,MFG,0.675,0.745,0.6233333333333333,0.8066666666666666,605.0971568363385,122.97398899075142,212.6727295919061,26.056712468828398,341.3216677014315,230.26251469986119,345.47963241236914,36.557831171500546,1,1,0,1,Frontal,0,0,0,1
47,S0,47,MFG,0.8683333333333334,0.66,0.7716666666666667,0.95,9.420860393914666,3.7062709804756815,5.377469287868234,1.5056519300796571,18.48453837480613,5.557774070387007,10.087254718675565,2.594139298480893,1,0,1,1,Frontal,0,0,0,0
48,S0,48,SFG,0.8466666666666665,0.8633333333333333,0.8716666666666665,0.9666666666666666,2.857711254636668,2.103089752453601,4.073419360921375,1.2587804285710589,5.513778453198434,4.530121255421182,6.4991585480910326,2.16878949380382,1,1,1,1,Frontal,0,0,1,0
49,S0,49,SFG,0.8133333333333332,0.6416666666666666,0.6599999999999999,1.0,34.558843018484346,70.87537685820625,103.91112619349998,11.314166588524921,63.261134259107074,52.19308950757323,80.72258769494776,17.605415345219306,1,0,0,1,Frontal,0,0,0,0
50,S0,50,SFG,0.6300000000000001,0.6783333333333333,0.72,0.9333333333333332,28.8513287817939,33.99437775165028,78.56253914364238,15.347992320643804,52.585677810881634,74.27456594809352,105.10673075826165,24.22587567877923,0,1,1,1,Frontal,0,0,1,0
51,S0,51,SFG,0.7050000000000001,0.515,0.5166666666666666,0.9133333333333332,36.00799500201128,41.94788142516797,89.49312080705955,7.871480717273692,77.30353013109925,35.362925234204454,78.87966481321494,11.820609310386605,1,0,0,1,Frontal,0,0,0,0
52,S0,52,SFG,0.7816666666666666,0.7799999999999999,0.9066666666666666,0.8316666666666667,25.860666190623693,29.302049580705155,52.06692036634711,9.556414917715623,49.71315638718133,50.868545246482384,81.056609534374,12.327060029316184,1,1,1,1,Frontal,0,1,0,0
53,S0,53,SFG,0.6700000000000002,0.7416666666666667,1.0,0.7899999999999999,184.1978243819861,205.79617260014075,227.29130742261108,22.58443892105009,304.93510971832734,391.8863166963305,332.26482001025687,30.950493094577087,1,1,1,1,Frontal,0,1,0,0
